Study Name	LIDE Sample ID	Study Sample ID	Collection Start Date	Sample Type	"Adenovirus C,D,F"	Adenovirus A	Adenovirus B	Enterovirus	G1 Norovirus	G2 Norovirus	HAV	Rotavirus	Campylobacter	Salmonella	EHEC	Cryptosporidium	BVDV1	BVDV2	Rotavirus a	Rotavirus c	Bovine Enterovirus	Coronavirus	Bovine Adenovirus	Bovine Polyomavirus	Mycobacterium Avium	Mycobacterium Avium paratuber
Milw Corridor Study USGS	34570 - 34569	MF 026	15-Jul-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33960 - 33959	MF 027	22-Jul-10	Event	0	0	0	0	0	0	0	0	0.1	0.08	0.11	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33962 - 33961	MF 028	23-Jul-10	Event	0	0	0	0	0	0	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34063 - 34062	MF 031	1-Sep-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34127 - 34126	MF 032	13-Sep-10	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34077 - 34076	MF 033	23-Oct-10	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34085 - 34084	MF 034	26-Oct-10	Event	0	0	0	48.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34093 - 34092	MF 035	10-Nov-10	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34111 - 34110	MF 036	22-Nov-10	Event	0	0	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34556 - 34555	MF 037	5-Jan-11	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34605 - 34604	MF 038	16-Feb-11	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34595 - 34594	MF 039	28-Feb-11	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34615 - 34614	MF 040	9-Mar-11	Event	0	0	0	0	0	0	0	0	8.24	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34627 - 34626	MF 041	14-Mar-11	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34637 - 34636	MF 042	17-Mar-11	Event	0	0	0	0	0	0	0	0	0	5.71	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34639 - 34638	MF 043	20-Mar-11	Event	0	0	0	0	0	0	0	0	0	16.7	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34653 - 34652	MF 044	22-Mar-11	Event	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	34665 - 34664	MF 045	29-Mar-11	Baseflow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Milw Corridor Study USGS	33297 - 33298	MW 001	6-Apr-09	Baseflow	16.8	132.68	0	0	0	0	0	0														
Milw Corridor Study USGS	33314 - 33315	MW 002	19-Apr-09	Event	32.52	148.5	0	24.26	0	0	0	0														
Milw Corridor Study USGS	33329 - 33330	MW 003	26-Apr-09	Event	0	5.44	0	0	0	0	0	0														
Milw Corridor Study USGS	33348 - 33349	MW 004	13-May-09	Event	0	0	0	0	0	0	0	0														
