SampleID	SSdate	SEdate	MultipleSample	SampleType	UWM	Fvolume	Comments	ESdate	EEdate	ISdate	IEdate	Start time difference	End time difference	Comments
MC056	03-17-2011 14:07	03-20-2011 06:39	yes	Snowmelt	NA	670	snowmelt			03-17-2011 11:06	03-20-2011 07:00	3:01	0:21	
MC057	03-20-2011 07:18	03-21-2011 08:28	yes	Rainfall	NA	549	rain	03-20-2011 07:00	03-24-2011 16:00	03-20-2011 07:00	03-21-2011 23:00	0:18	14:32	
MC058	03-22-2011 14:10	03-24-2011 07:47	yes	Rainfall	NA	594	rain			03-22-2011 11:00	03-24-2011 16:00	3:10	8:13	
MC059	03-29-2011 09:07	03-30-2011 13:06	no	Baseflow	NA	287	Baseflow							
MC060	03-29-2011 09:14	03-30-2011 13:12	no	Replicate	NA	287	Baseflow duplicate							
MF001	04-06-2009 09:34	04-07-2009 11:00	no	Baseflow	yes	261.9	Baseflow							
MF002	04-20-2009 10:28	04-21-2009 18:19	no	Rainfall 	yes	408	Rainfall event	04-19-2009 14:45	04-23-2009 15:00	04-19-2009 14:45	04-23-2009 15:00	19:43	44:41	
MF003	06-15-2009 20:38	06-16-2009 13:42	no	Baseflow	yes	222	Baseflow							
MF004S	07-07-2009 09:00	NA	no	Sediment	no	NA	Bed Sediment Sample; sand with some silt; little organics							
MF005	07-22-2009 08:44	07-23-2009 06:12	no	Rainfall 	yes	130.9	rainfall event	07-22-2009 07:35	07-23-2009 17:00	07-22-2009 07:35	07-23-2009 17:00	1:09	10:48	
MF006	08-11-2009 09:08	08-12-2009 08:35	no	Baseflow	yes	196	Baseflow							
MF007S	09-02-2009 08:15	NA	no	Sediment	no	NA	Sediment							
MF008	09-15-2009 08:28	09-15-2009 13:54	no	Baseflow	yes	85.6	Baseflow							
MF009	09-22-2009 12:21	09-23-2009 07:48	no	Rainfall	yes	312	Rainfall event	09-22-2009 11:45	09-23-2009 16:00	09-22-2009 11:45	09-23-2009 16:00	0:36	8:12	
MF010	09-27-2009 18:44	09-28-2009 07:24	no	Rainfall	yes	257	Rainfall event	09-27-2009 19:05	09-28-2009 10:00	09-27-2009 19:05	09-28-2009 10:00	###############################################################################################################################################################################################################################################################	2:36	
MF011	10-01-2009 19:24	10-02-2009 09:48	no	Rainfall	no	146	Rainfall event	10-01-2009 19:35	10-02-2009 18:00	10-01-2009 19:35	10-02-2009 18:00	###############################################################################################################################################################################################################################################################	8:12	
MF012	10-22-2009 06:04	10-24-2009 11:23	no	Rainfall	yes	334	Rainfall event	10-22-2009 06:00	10-25-2009 00:00	10-22-2009 06:00	10-25-2009 00:00	0:04	12:37	
MF013	11-17-2009 17:30	11-18-2009 14:38	no	Baseflow	yes	242	Low flow with a little rain at the end of sampling							
MF014	12-24-2009 23:28	12-27-2009 17:29	no	Mix	no	297	Rain on top of snow. Merry Xmas	12-24-2009 16:00	12-28-2009 21:00	12-24-2009 16:00	12-28-2009 21:00	7:28	27:31	
MF014S	12-17-2009 11:45	NA	no	Sediment	no	NA	bed sediment							
MF015	01-20-2010 09:47	01-21-2010 04:24	no	Baseflow	no	292	Baseflow							
